iter	Passed	Remaining
785	11152	3036
786	11165	3021
787	11179	3007
788	11193	2993
789	11205	2978
790	11218	2964
791	11232	2949
792	11246	2935
793	11260	2921
794	11273	2907
795	11286	2892
796	11298	2877
797	11312	2863
798	11325	2849
799	11338	2834
800	11351	2820
801	11364	2805
802	11378	2791
803	11391	2776
804	11404	2762
805	11417	2748
806	11431	2733
807	11445	2719
808	11458	2705
809	11472	2691
810	11485	2676
811	11499	2662
812	11512	2647
813	11525	2633
814	11538	2619
815	11552	2605
816	11566	2590
817	11582	2577
818	11598	2563
819	11615	2549
820	11631	2535
821	11647	2522
822	11664	2508
823	11681	2495
824	11697	2481
825	11714	2467
826	11731	2454
827	11747	2440
828	11763	2426
829	11778	2412
830	11795	2398
831	11812	2385
832	11829	2371
833	11846	2357
834	11865	2344
835	11887	2331
836	11906	2318
837	11926	2305
838	11947	2292
839	11965	2279
840	11980	2265
841	11994	2250
842	12007	2236
843	12021	2222
844	12037	2207
845	12051	2193
846	12067	2179
847	12084	2166
848	12103	2152
849	12119	2138
850	12136	2124
851	12154	2111
852	12172	2097
853	12191	2084
854	12208	2070
855	12226	2056
856	12243	2043
857	12258	2028
858	12273	2014
859	12290	2000
860	12307	1986
861	12325	1973
862	12343	1959
863	12363	1946
864	12384	1932
865	12404	1919
866	12422	1905
867	12439	1891
868	12458	1878
869	12476	1864
870	12496	1850
871	12516	1837
872	12533	1823
873	12547	1808
874	12564	1794
875	12580	1780
876	12597	1766
877	12617	1753
878	12636	1739
879	12654	1725
880	12672	1711
881	12691	1697
882	12712	1684
883	12730	1670
884	12749	1656
885	12769	1643
886	12789	1629
887	12808	1615
888	12826	1601
889	12844	1587
890	12861	1573
891	12879	1559
892	12902	1546
893	12925	1532
894	12941	1518
895	12956	1503
896	12971	1489
897	12984	1474
898	12998	1460
899	13011	1445
900	13024	1431
901	13037	1416
902	13050	1401
903	13063	1387
904	13076	1372
905	13088	1357
906	13100	1343
907	13113	1328
908	13124	1313
909	13136	1299
910	13150	1284
911	13164	1270
912	13177	1255
913	13190	1241
914	13203	1226
915	13216	1211
916	13229	1197
917	13242	1182
918	13257	1168
919	13271	1154
920	13285	1139
921	13299	1125
922	13314	1110
923	13331	1096
924	13349	1082
925	13365	1068
926	13383	1053
927	13400	1039
928	13417	1025
929	13434	1011
930	13452	997
931	13468	982
932	13484	968
933	13501	954
934	13517	939
935	13533	925
936	13550	911
937	13570	896
938	13590	882
939	13609	868
940	13626	854
941	13642	839
942	13657	825
943	13672	811
944	13690	796
945	13715	782
946	13729	768
947	13743	753
948	13755	739
949	13765	724
950	13779	709
951	13792	695
952	13807	680
953	13822	666
954	13837	652
955	13852	637
956	13870	623
957	13888	608
958	13906	594
959	13924	580
960	13942	565
961	13962	551
962	13980	537
963	13995	522
964	14012	508
965	14028	493
966	14044	479
967	14060	464
968	14076	450
969	14093	435
970	14110	421
971	14125	406
972	14140	392
973	14156	377
974	14172	363
975	14188	348
976	14204	334
977	14220	319
978	14239	305
979	14257	290
980	14272	276
981	14288	261
982	14305	247
983	14321	232
984	14337	218
985	14355	203
986	14373	189
987	14389	174
988	14406	160
989	14423	145
990	14440	131
991	14457	116
992	14474	102
993	14489	87
994	14503	72
995	14516	58
996	14533	43
997	14555	29
998	14577	14
999	14596	0
